timestamp,service_name,environment,region,status_code,latency_ms,error_type,request_count,trace_id,deployment_version,message
2026-09-19T01:00:00,game-session-service,production,us-east,200,255,,114,944017bf-f12d-45bd-a6e2-f4d570112c9b,v1.8.2,request completed
2026-09-19T01:00:14,notification-service,production,us-east,200,260,,47,7d2c3672-3e4e-4b27-83aa-8bd1695f4c10,v2.1.3,request completed
2026-09-19T01:00:28,payment-service,production,us-east,200,172,,95,dd95d687-62dd-466a-a833-bd4244a02319,v2.1.3,request completed
2026-09-19T01:00:42,matchmaking-service,production,us-east,200,213,,39,a0b51fcd-efc5-4b2d-bc0a-94f16f93f0fa,v1.8.2,request completed
2026-09-19T01:00:56,payment-service,production,eu-central,200,296,,123,4f2d2d83-3709-4c06-9228-24f81b434bee,v1.8.2,request completed
2026-09-19T01:01:10,auth-service,production,ap-south,201,135,,30,02a73de3-9192-44f9-94da-6840321bc652,v2.1.3,request completed
2026-09-19T01:01:24,notification-service,production,eu-central,200,112,,25,9083a856-718f-4842-8e7f-540e2a16a29e,v2.1.3,request completed
2026-09-19T01:01:38,game-session-service,production,us-west,200,167,,130,12c58dc5-621a-47ab-863d-803f0bd17b28,v2.0.9,request completed
2026-09-19T01:01:52,auth-service,production,ap-south,200,271,,105,5e4255f5-7358-4f91-bc14-462bac6f2409,v2.0.9,request completed
2026-09-19T01:02:06,matchmaking-service,production,us-east,200,297,,51,74c3adaf-18b8-4f29-b7b5-7b3a538a05fa,v2.1.3,request completed
2026-09-19T01:02:20,payment-service,production,ap-south,201,207,,61,61068330-e1ad-47fd-ab27-0a656af28b6b,v2.0.9,request completed
2026-09-19T01:02:34,leaderboard-service,production,us-east,200,174,,71,2978cbbc-eb51-4baf-9b0c-b2c56162fd53,v1.8.2,request completed
2026-09-19T01:02:48,matchmaking-service,production,us-east,200,218,,83,838149e6-9638-45db-839a-0a9081adc993,v1.8.2,request completed
2026-09-19T01:03:02,player-profile-service,production,ap-south,200,172,,91,0a1062c7-e062-4824-aaa5-619800b8b544,v1.8.2,request completed
2026-09-19T01:03:16,notification-service,production,eu-central,201,181,,37,3ca13222-30f7-46b3-8eab-5b82f8fc2bda,v2.1.3,request completed
2026-09-19T01:03:30,notification-service,production,ap-south,200,265,,39,004e665b-8de4-4161-b555-8dba4919b8de,v1.8.2,request completed
2026-09-19T01:03:44,game-session-service,production,us-west,200,40,,87,a3d76e5f-d4ea-4f0c-9710-861fb34e077f,v2.1.3,request completed
2026-09-19T01:03:58,matchmaking-service,production,us-east,200,421,,88,b3f4501f-fed0-441b-9c63-5985260c8c32,v2.1.3,request completed
2026-09-19T01:04:12,leaderboard-service,production,eu-central,200,233,,112,c8db94f2-8344-4159-bb07-52b0c71df768,v2.1.3,request completed
2026-09-19T01:04:26,game-session-service,production,eu-central,200,235,,33,80ca6ee2-e561-4d82-ab0c-91c54ffee237,v2.1.3,request completed
2026-09-19T01:04:40,leaderboard-service,production,eu-central,200,194,,119,44fc61a8-37c0-4d4e-9015-eccee5e6729a,v2.1.3,request completed
2026-09-19T01:04:54,notification-service,production,us-east,200,265,,138,8bf73548-b811-43c5-adca-a6527ccaa043,v2.1.3,request completed
2026-09-19T01:05:08,matchmaking-service,production,eu-central,200,263,,82,84f486f2-18ee-4ff7-8e55-b6a67eef93e2,v1.8.2,request completed
2026-09-19T01:05:22,leaderboard-service,production,us-east,200,218,,80,87216c59-b6c1-41e2-ab25-9ed15c7ec32a,v2.1.3,request completed
2026-09-19T01:05:36,notification-service,production,us-west,200,420,,116,a312bdcf-4fcf-423d-a6d1-9b0e19de85c6,v2.0.9,request completed
2026-09-19T01:05:50,game-session-service,production,us-west,503,186,MATCHMAKING_QUEUE_TIMEOUT,67,d1d9ed63-f9d6-4ba7-afd2-6b46e76551c8,v2.1.3,MATCHMAKING_QUEUE_TIMEOUT observed in service logs
2026-09-19T01:06:04,player-profile-service,production,ap-south,200,337,,95,8c6924b7-6173-4e79-a66c-48f241298417,v1.8.2,request completed
2026-09-19T01:06:18,payment-service,production,us-east,200,244,,28,ca4dd89c-2a4f-40ca-8794-bc0f94a4bfc2,v1.8.2,request completed
2026-09-19T01:06:32,auth-service,production,eu-central,200,124,,112,31d153f9-c7c8-4561-8aab-45cdd1f31c36,v1.8.2,request completed
2026-09-19T01:06:46,notification-service,production,ap-south,200,239,,44,9571e110-606a-4b60-b74f-bd4120e8f9a0,v1.8.2,request completed
2026-09-19T01:07:00,auth-service,production,us-east,200,95,,106,a241e52d-45a7-4d60-acab-ee0a92213aa1,v2.1.3,request completed
2026-09-19T01:07:14,game-session-service,production,us-east,200,258,,130,a421d4a9-f7fc-4d46-b207-e5f6de41a72f,v1.8.2,request completed
2026-09-19T01:07:28,auth-service,production,us-west,200,169,,51,31c90162-88e7-4ad1-a06f-a129041919a7,v1.8.2,request completed
2026-09-19T01:07:42,leaderboard-service,production,us-east,200,262,,32,d419ad4c-3641-4610-9644-6f747eb5f169,v2.0.9,request completed
2026-09-19T01:07:56,auth-service,production,us-east,200,279,,47,1fb73f3e-8681-45e2-961c-77269a1b6d25,v1.8.2,request completed
2026-09-19T01:08:10,leaderboard-service,production,ap-south,200,314,,69,b25ce973-e58a-4de7-9b02-5ff30067e7e7,v1.8.2,request completed
2026-09-19T01:08:24,matchmaking-service,production,ap-south,401,338,,111,030068ae-2661-4c92-a772-eeff3870948d,v2.0.9,request completed
2026-09-19T01:08:38,player-profile-service,production,us-west,401,226,,94,54c65b35-c209-42ee-8087-54dc6e1352a3,v1.8.2,request completed
2026-09-19T01:08:52,game-session-service,production,us-east,200,41,,87,801a907b-a220-4b39-b16d-703cbb2a6dd1,v2.1.3,request completed
