hour,service_name,region,deployment_version,request_count,error_count,auth_failure_count,timeout_count,avg_latency_ms,p95_latency_ms,cpu_usage,memory_usage,db_latency_ms,queue_lag,error_rate,auth_failure_rate
2026-06-25 21:00:00+00:00,api-gateway,us-east-1,2026.07.2,12,0,0,0,107.29583333333333,124.49449999999999,49.612500000000004,56.46416666666667,37.891666666666666,4.229166666666667,0.0,0.0
2026-06-25 21:00:00+00:00,auth-service,us-west-2,2026.07.3,12,0,0,0,96.49916666666667,114.18299999999999,49.45416666666667,54.98583333333334,24.8225,2.2475,0.0,0.0
2026-06-25 21:00:00+00:00,database-service,us-west-2,2026.07.2,12,0,0,0,77.61166666666666,103.3485,58.740833333333335,62.435833333333335,30.965833333333332,1.3441666666666665,0.0,0.0
2026-06-25 21:00:00+00:00,notification-service,us-west-2,2026.07.1,12,0,0,0,104.87833333333333,136.9055,42.18083333333333,50.169999999999995,20.95416666666667,3.058333333333333,0.0,0.0
2026-06-25 21:00:00+00:00,payment-service,us-east-1,2026.07.1,12,0,0,0,149.6325,170.6255,54.905833333333334,59.682500000000005,45.2125,4.5175,0.0,0.0
2026-06-25 21:00:00+00:00,recommendation-service,ap-south-1,2026.07.3,12,0,0,0,167.79999999999998,183.7785,60.69583333333333,66.9475,44.410833333333336,5.836666666666667,0.0,0.0
2026-06-25 21:00:00+00:00,worker-service,ap-south-1,2026.07.5,12,0,0,0,130.12166666666667,151.201,53.96083333333333,57.16083333333333,33.79833333333333,8.755,0.0,0.0
2026-06-25 22:00:00+00:00,api-gateway,us-west-2,2026.07.2,12,0,0,0,115.88583333333332,141.75300000000001,52.732499999999995,57.79916666666667,37.16416666666667,5.095833333333333,0.0,0.0
2026-06-25 22:00:00+00:00,auth-service,eu-west-1,2026.07.3,12,0,0,0,93.53666666666668,129.9435,46.24666666666667,53.16916666666666,26.627499999999998,2.6225,0.0,0.0
2026-06-25 22:00:00+00:00,database-service,eu-west-1,2026.07.2,12,0,0,0,72.84833333333333,86.548,56.669999999999995,63.28666666666667,28.02416666666667,1.46,0.0,0.0
2026-06-25 22:00:00+00:00,notification-service,eu-west-1,2026.07.1,12,0,0,0,107.32083333333333,124.6965,44.0025,48.030833333333334,18.458333333333332,2.7875,0.0,0.0
2026-06-25 22:00:00+00:00,payment-service,us-west-2,2026.07.1,12,0,0,0,146.805,172.72,54.942499999999995,60.75583333333333,46.931666666666665,4.180000000000001,0.0,0.0
2026-06-25 22:00:00+00:00,recommendation-service,us-east-1,2026.07.3,12,0,0,0,170.085,196.696,58.8675,65.46,42.18416666666667,5.915,0.0,0.0
2026-06-25 22:00:00+00:00,worker-service,us-east-1,2026.07.5,12,0,0,0,129.33416666666668,169.44299999999998,51.33583333333333,55.73166666666666,33.86416666666667,10.575833333333334,0.0,0.0
2026-06-25 23:00:00+00:00,api-gateway,eu-west-1,2026.07.2,12,0,0,0,105.71750000000002,130.9855,50.7075,57.637499999999996,35.48833333333334,3.2383333333333333,0.0,0.0
2026-06-25 23:00:00+00:00,auth-service,ap-south-1,2026.07.3,12,0,0,0,101.89083333333333,126.444,46.24916666666667,53.16833333333333,21.748333333333335,2.3866666666666667,0.0,0.0
2026-06-25 23:00:00+00:00,database-service,ap-south-1,2026.07.2,12,0,0,0,75.48833333333333,90.0835,57.49,62.21083333333333,25.2775,1.1525,0.0,0.0
2026-06-25 23:00:00+00:00,notification-service,ap-south-1,2026.07.1,12,0,0,0,104.08083333333333,133.31799999999998,44.419999999999995,49.899166666666666,16.764166666666664,3.0275,0.0,0.0
2026-06-25 23:00:00+00:00,payment-service,eu-west-1,2026.07.1,12,0,0,0,145.1,175.30599999999998,56.23500000000001,60.93,45.79333333333333,4.806666666666667,0.0,0.0
2026-06-25 23:00:00+00:00,recommendation-service,us-west-2,2026.07.3,12,0,0,0,160.095,172.3595,60.32416666666666,66.05166666666666,41.17166666666667,5.493333333333333,0.0,0.0
2026-06-25 23:00:00+00:00,worker-service,us-west-2,2026.07.5,12,0,0,0,121.45583333333333,156.906,51.43333333333334,56.711666666666666,35.91833333333333,9.393333333333333,0.0,0.0
2026-06-26 00:00:00+00:00,api-gateway,ap-south-1,2026.07.3,12,0,0,0,100.54666666666667,125.3785,52.13833333333333,57.163333333333334,40.637499999999996,3.6283333333333334,0.0,0.0
2026-06-26 00:00:00+00:00,auth-service,us-east-1,2026.07.4,12,0,0,0,92.085,120.77349999999998,50.4925,53.16166666666666,22.816666666666666,1.9800000000000002,0.0,0.0
2026-06-26 00:00:00+00:00,database-service,us-east-1,2026.07.3,12,0,0,0,84.02,103.079,56.76833333333334,62.89416666666667,26.655833333333334,1.5016666666666667,0.0,0.0
2026-06-26 00:00:00+00:00,notification-service,us-east-1,2026.07.2,12,0,0,0,104.1375,135.54999999999998,44.28666666666666,50.056666666666665,14.75,2.9749999999999996,0.0,0.0
2026-06-26 00:00:00+00:00,payment-service,ap-south-1,2026.07.2,12,0,0,0,144.31416666666667,180.18599999999998,56.715,59.85833333333333,47.145833333333336,5.343333333333334,0.0,0.0
2026-06-26 00:00:00+00:00,recommendation-service,eu-west-1,2026.07.4,12,0,0,0,168.62,204.76,62.025,66.72083333333333,42.487500000000004,6.204999999999999,0.0,0.0
2026-06-26 00:00:00+00:00,worker-service,eu-west-1,2026.07.1,12,0,0,0,131.46333333333334,155.686,52.44833333333333,56.60666666666666,34.245,10.678333333333333,0.0,0.0
